,year,month,day,min_temp,max_temp,prcp,sndp
439,2015,2,12,21.9,39.9,0.0,3.9
440,2015,2,17,3.9,28.0,0.11,7.1
441,2015,3,2,24.1,37.9,0.48,5.1
442,2015,3,3,24.1,37.9,0.0,5.9
443,2015,3,19,28.0,42.1,0.0,999.9
444,2015,3,31,34.0,55.0,0.0,999.9
445,2015,4,2,34.0,63.0,0.0,999.9
446,2015,4,4,46.9,63.0,0.04,999.9
447,2015,4,6,39.0,62.1,0.0,999.9
448,2015,4,7,39.0,60.1,0.01,999.9
449,2015,4,8,39.9,57.0,0.16,999.9
450,2015,5,3,48.0,75.9,0.0,999.9
451,2015,5,19,55.0,82.0,0.01,999.9
452,2015,5,26,64.9,86.0,0.0,999.9
453,2015,6,27,62.1,80.1,0.0,999.9
454,2015,7,19,72.0,93.9,0.18,999.9
455,2015,7,26,71.1,89.1,0.0,999.9
456,2015,8,2,73.0,90.0,0.0,999.9
457,2015,8,6,64.9,88.0,0.0,999.9
458,2015,8,8,69.1,82.0,0.0,999.9
459,2015,8,11,71.1,82.4,0.67,999.9
460,2015,8,15,71.1,91.9,0.0,999.9
461,2015,8,18,77.0,93.0,0.0,999.9
462,2015,8,19,75.9,89.1,0.0,999.9
463,2015,8,26,69.1,88.0,0.0,999.9
464,2015,8,28,66.0,82.9,0.0,999.9
465,2015,9,4,75.0,93.0,0.0,999.9
466,2015,9,7,66.9,90.0,0.0,999.9
467,2015,9,8,71.1,95.0,0.0,999.9
468,2015,9,10,72.0,89.1,0.66,999.9
469,2015,9,11,66.0,81.0,0.52,999.9
470,2015,9,18,70.0,87.1,0.0,999.9
471,2015,9,26,60.8,70.0,0.0,999.9
472,2015,10,5,51.8,64.9,0.0,999.9
473,2015,10,12,53.1,75.9,0.0,999.9
474,2015,10,15,52.0,68.0,0.0,999.9
475,2015,10,19,37.0,53.1,0.0,999.9
476,2015,10,21,48.9,75.9,0.0,999.9
477,2015,10,28,46.0,70.0,0.0,999.9
478,2015,10,30,51.1,73.9,0.01,999.9
479,2015,10,31,43.0,60.1,0.0,999.9
480,2015,11,1,43.0,64.9,0.0,999.9
481,2015,11,2,53.1,64.9,0.0,999.9
482,2015,11,5,55.0,71.1,0.0,999.9
483,2015,11,7,57.0,75.0,0.0,999.9
484,2015,11,9,46.0,60.1,0.0,999.9
485,2015,11,19,45.0,64.0,0.0,999.9
486,2015,11,21,43.0,64.0,0.0,999.9
487,2015,11,22,43.0,55.9,0.0,999.9
488,2015,11,24,33.1,46.9,0.0,999.9
489,2015,11,25,33.1,48.9,0.0,999.9
490,2015,11,27,41.0,64.9,0.0,999.9
491,2015,12,6,39.9,53.1,0.0,999.9
492,2015,12,9,39.0,53.1,0.0,999.9
493,2015,12,11,48.9,61.0,0.0,999.9
494,2015,12,16,45.0,64.0,0.11,999.9
495,2015,12,24,50.0,72.0,1.46,999.9
496,2015,1,3,30.9,42.1,0.0,999.9
497,2015,1,6,17.6,28.9,0.0,1.2
498,2015,1,7,15.1,25.0,0.05,1.2
499,2015,1,12,19.0,37.9,0.0,999.9
500,2015,1,16,25.0,42.1,0.0,999.9
501,2015,1,17,17.1,42.1,0.0,999.9
502,2015,1,20,34.0,42.1,0.0,999.9
503,2015,1,22,25.0,39.0,0.0,999.9
504,2015,1,27,19.9,30.0,0.45,7.9
505,2015,2,11,21.9,39.0,0.0,3.9
506,2015,2,19,15.1,30.9,0.0,5.1
507,2015,2,21,3.0,28.9,0.01,7.1
508,2015,2,25,6.1,37.9,0.0,5.1
509,2015,3,4,24.1,46.9,0.73,3.9
510,2015,3,11,33.1,60.1,0.44,1.2
511,2015,3,15,37.0,51.1,0.81,999.9
512,2015,3,21,28.9,46.9,0.29,2.0
513,2015,3,26,32.0,57.0,0.05,999.9
514,2015,3,27,37.9,57.0,0.52,999.9
515,2015,4,11,51.1,57.2,0.24,999.9
516,2015,4,13,44.1,64.9,0.0,999.9
517,2015,4,16,46.9,70.0,0.0,999.9
518,2015,4,21,45.0,66.9,0.95,999.9
519,2015,4,23,42.1,66.9,0.1,999.9
520,2015,4,26,39.0,61.0,0.0,999.9
521,2015,4,28,48.9,72.0,0.0,999.9
522,2015,5,5,54.0,82.0,0.0,999.9
523,2015,5,6,59.0,81.0,0.0,999.9
524,2015,5,9,53.1,79.0,0.0,999.9
525,2015,5,10,53.1,82.0,0.01,999.9
526,2015,5,13,57.9,87.1,0.0,999.9
527,2015,5,14,52.0,72.0,0.0,999.9
528,2015,5,18,55.4,75.9,0.02,999.9
529,2015,5,29,64.0,84.0,0.0,999.9
530,2015,6,2,50.0,57.9,0.47,999.9
531,2015,6,3,50.0,69.1,0.24,999.9
532,2015,6,6,55.9,73.9,0.55,999.9
533,2015,6,12,71.1,91.9,0.0,999.9
534,2015,6,19,64.9,84.9,0.0,999.9
535,2015,6,20,64.0,84.9,0.0,999.9
536,2015,6,25,69.1,84.9,0.0,999.9
537,2015,6,29,62.1,78.1,0.26,999.9
538,2015,7,5,69.1,84.9,0.0,999.9
539,2015,7,6,70.0,84.9,0.0,999.9
540,2015,7,7,71.1,88.0,0.0,999.9
541,2015,7,17,64.0,80.1,0.0,999.9
542,2015,7,24,71.1,84.9,0.0,999.9
543,2015,7,29,75.9,95.0,0.0,999.9
544,2015,7,31,73.9,91.0,1.62,999.9
545,2015,8,9,69.1,87.1,0.0,999.9
546,2015,8,12,71.1,84.9,0.51,999.9
547,2015,8,13,69.1,84.9,0.0,999.9
548,2015,8,25,73.0,88.0,0.0,999.9
549,2015,8,31,72.0,91.9,0.08,999.9
550,2015,9,3,75.0,93.0,0.0,999.9
551,2015,9,20,69.1,80.1,0.0,999.9
552,2015,9,24,59.0,81.0,0.0,999.9
553,2015,9,25,63.0,81.0,0.0,999.9
554,2015,9,29,64.9,82.9,0.0,999.9
